State,Prediction
Alabama,0
Arizona,3
Arkansas,3
California,3
Colorado,3
Connecticut,3
Delaware,3
Florida,0
Georgia,3
Idaho,0
Illinois,0
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,3
Maine,3
Maryland,3
Massachusetts,3
Michigan,3
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,3
New Jersey,3
New Mexico,3
New York,3
North Carolina,3
North Dakota,0
Ohio,0
Oklahoma,3
Oregon,3
Pennsylvania,3
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,3
Utah,3
Vermont,3
Virginia,0
Washington,0
West Virginia,3
Wisconsin,0
Wyoming,0
