State,Prediction
Alabama,3
Arizona,3
Arkansas,3
California,3
Colorado,3
Connecticut,4
Delaware,3
Florida,4
Georgia,3
Idaho,3
Illinois,3
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,3
Maine,1
Maryland,1
Massachusetts,4
Michigan,3
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,1
New Jersey,4
New Mexico,4
New York,4
North Carolina,4
North Dakota,0
Ohio,0
Oklahoma,3
Oregon,1
Pennsylvania,4
Rhode Island,4
South Carolina,3
South Dakota,0
Tennessee,3
Texas,3
Utah,1
Vermont,4
Virginia,3
Washington,1
West Virginia,0
Wisconsin,0
Wyoming,3
